,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
1,Notre Dame,1899,2018,112,1160,841,310,33,.724,37,18,19,0,.472,14.74,6.15,53,0,record adjusted to 820-310-33 by NCAA
2,Brigham Young,2011,2018,8,104,63,41,0,.606,7,4,3,0,.571,4.65,-0.52,0,0,
3,Army,1891,2018,118,1157,665,444,51,.595,8,6,2,0,.714,4.48,-0.02,14,0,
4,New Mexico State,1962,2018,12,125,59,63,3,.484,0,0,0,0,,-7.32,-6.75,0,0,
5,Massachusetts,1882,2018,17,152,57,89,6,.395,0,0,0,0,,-7.48,-3.76,0,0,
6,Liberty,2018,2018,1,12,6,6,0,.500,0,0,0,0,,-9.12,-6.62,0,0,
7,Navy,1891,2014,121,1219,648,526,52,.550,20,9,10,1,.475,4.04,1.44,12,0,
8,Idaho,1917,2013,19,187,64,120,3,.350,0,0,0,0,,-11.37,-5.20,0,0,
9,Western Kentucky,2007,2008,2,24,9,15,0,.375,0,0,0,0,,-9.32,-6.69,0,0,
10,Temple,1930,2006,45,445,210,211,26,.499,2,1,1,0,.500,-0.74,-0.72,1,0,record adjusted to 205-216-26 by NCAA
11,Florida A&M,2004,2004,1,11,3,8,0,.273,0,0,0,0,,-21.65,-12.38,0,0,
12,Troy,2001,2003,3,35,17,18,0,.486,0,0,0,0,,-7.25,-4.83,0,0,
13,Connecticut,1979,2003,5,57,23,32,2,.421,0,0,0,0,,-8.99,-7.27,0,0,
14,South Florida,2000,2002,3,33,24,9,0,.727,0,0,0,0,,-0.09,-8.18,0,0,
15,Utah State,1912,2002,19,196,111,82,3,.574,0,0,0,0,,-0.57,-3.28,0,0,
16,UCF,1996,2001,6,66,36,30,0,.545,0,0,0,0,,-1.35,-5.21,0,0,
17,Louisiana Tech,1988,2000,10,111,62,46,4,.571,1,0,0,1,.500,-2.15,-5.10,0,0,
