,,,,,Overall,Overall,Overall,Overall,Overall,Conference,Conference,Conference,Conference,Conference,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
1,Appalachian State,2014,2018,5,64,48,16,0,.750,40,34,6,0,.850,4,4,0,0,1.000,3.53,-6.52,0,1,
2,Georgia Southern,2014,2018,5,62,35,27,0,.565,40,26,14,0,.650,2,2,0,0,1.000,-2.05,-5.33,0,1,
3,Troy,2004,2018,15,186,104,82,0,.559,115,76,39,0,.661,8,5,3,0,.571,-3.39,-5.45,0,6,
4,Arkansas State,2001,2018,18,222,114,108,0,.514,132,85,47,0,.644,9,3,6,0,.375,-6.63,-6.56,0,5,record adjusted to 104-108-0 by NCAA
5,Louisiana,2001,2018,18,220,102,118,0,.464,132,74,58,0,.561,6,4,2,0,.667,-8.91,-6.10,0,2,
6,South Alabama,2012,2018,7,87,32,55,0,.368,55,20,35,0,.364,2,0,2,0,.000,-9.67,-4.68,0,0,
7,Louisiana-Monroe,2001,2018,18,215,79,136,0,.367,133,62,71,0,.466,1,0,1,0,.000,-10.76,-5.11,0,1,
8,Coastal Carolina,2017,2018,2,24,8,16,0,.333,16,4,12,0,.250,0,0,0,0,,-13.19,-6.02,0,0,
9,Georgia State,2013,2018,6,73,19,54,0,.260,47,13,34,0,.277,2,1,1,0,.000,-13.78,-5.21,0,0,
10,Texas State,2013,2018,6,72,23,49,0,.319,47,11,36,0,.234,0,0,0,0,,-13.98,-6.69,0,0,
11,New Mexico State,2001,2017,8,96,35,61,0,.365,58,26,32,0,.448,1,1,0,0,,-11.02,-5.41,0,0,
12,Idaho,2001,2017,8,96,27,68,0,.284,58,20,38,0,.345,1,1,0,0,1.000,-13.95,-5.99,0,0,
13,Western Kentucky,2009,2013,5,61,24,37,0,.393,39,17,22,0,.436,1,0,1,0,.000,-8.89,-5.41,0,0,
14,Middle Tennessee State,2001,2012,12,144,68,76,0,.472,88,50,38,0,.568,3,1,2,0,.333,-7.25,-6.64,0,2,
15,Florida Atlantic,2004,2012,9,107,44,65,0,.404,67,30,37,0,.448,2,2,0,0,1.000,-11.14,-5.48,0,1,
16,North Texas,2001,2012,12,142,51,94,0,.352,88,42,46,0,.477,4,1,3,0,.250,-11.29,-5.08,0,4,
17,Florida International,2004,2012,9,107,35,72,0,.327,65,24,41,0,.369,2,1,1,0,.500,-12.05,-6.36,0,1,
18,Utah State,2003,2004,2,23,6,17,0,.261,13,5,8,0,.385,0,0,0,0,,-12.65,-4.42,0,0,
