,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
1,Air Force,1957,2018,62,705,384,325,12,.541,26,12,13,1,.481,1.02,-0.57,6,3,
2,Akron,1975,2018,33,383,150,230,3,.396,3,1,2,0,.500,-11.46,-7.08,0,1,
3,Alabama,1902,2018,115,1213,919,303,42,.744,70,41,26,3,.596,13.44,4.15,55,26,record adjusted to 890-312-41 by NCAA
4,Alameda Coast Guard,1943,1944,2,15,8,4,3,.633,0,0,0,0,,-0.16,-5.13,0,0,
5,Alcorn State,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-17.10,-9.19,0,0,
6,Amarillo Field,1944,1944,1,8,5,3,0,.625,0,0,0,0,,5.10,-1.78,0,0,
7,Amherst,1877,1906,25,239,108,110,21,.496,0,0,0,0,,-1.20,-0.20,0,0,
8,Appalachian State,1972,2018,15,174,97,72,5,.572,4,4,0,0,1.000,-3.06,-6.96,0,1,
9,Arizona,1931,2018,85,920,486,422,23,.534,20,9,10,1,.500,1.72,0.59,8,6,
10,Arizona State,1931,2018,85,924,568,351,18,.616,31,14,16,1,.483,3.55,-1.33,17,17,
11,Arkansas,1906,2018,113,1169,681,481,37,.583,42,15,24,3,.393,6.58,2.99,28,14,record adjusted to 682-480-37 by NCAA
12,Arkansas State,1974,2018,37,431,193,236,2,.450,9,3,6,0,.375,-9.25,-6.99,0,6,record adjusted to 183-236-2 by NCAA
13,Army,1891,2018,125,1237,678,511,51,.567,8,6,2,0,.714,3.41,-0.17,14,0,
14,Auburn,1902,2018,116,1190,741,431,43,.628,43,24,17,2,.595,8.78,4.41,39,8,record adjusted to 744-429-42 by NCAA
15,Ball State,1975,2018,44,504,246,257,4,.489,7,0,7,0,.000,-8.61,-7.69,0,5,
16,Bates,1901,1905,3,21,10,8,3,.548,0,0,0,0,,-1.85,-2.20,0,0,
17,Baylor,1903,2018,113,1176,584,565,41,.508,24,13,11,0,.542,2.63,2.61,14,8,record adjusted to 584-565-40 by NCAA
